Companies,Categories,City,Country,Customer Name,Market,Customer ID,Order Date,Year (OrderDate),Order ID,Order Priority,Product ID,Region,Segment,State,Discount,Profit,Sales,Shipping Cost,Target Sales
real skateboard,Electric Skateboard,Los Angeles,United States,Scot Wooten,USCA,SW-202454,13/03/2014,2014,US-2013-119270,Medium,OFF-PA-10004022,West,Consumer,California,0,8.991,20,1.3,10.989
Plan B skateboard,The Carve Skateboard,Los Angeles,United States,Chris Cortes,USCA,CC-122204,29/03/2014,2014,CA-2013-131380,Critical,OFF-PA-10001243,West,Consumer,California,0,2.9302,6,1.82,8.9102
Santa cruz skateboard,The Carve Skateboard,Los Angeles,United States,Logan Currie,USCA,LC-171404,09/04/2014,2014,CA-2013-130477,High,OFF-PA-10002947,West,Consumer,California,0,9.6192,20,2.92,10.4208
Chocolate skateboard,The Carve Skateboard,Los Angeles,United States,Logan Currie,USCA,LC-171404,09/04/2014,2014,CA-2013-130477,High,OFF-PA-10000019,West,Consumer,California,0,6.2208,13,2.28,19.1808
Toy machine skateboard,Classic Longboard Skateboard,Los Angeles,United States,Jason Fortune-,USCA,JF-152954,13/04/2014,2014,CA-2013-163594,Medium,OFF-PA-10000809,West,Consumer,California,0,9.3312,19.4,1.77,10.1088
Alien workshop,Downhill Longboard Skateboard,Los Angeles,United States,Jas O'Carroll,USCA,JO-152804,20/04/2014,2014,US-2013-115819,Medium,OFF-PA-10002377,West,Consumer,California,0,10.224,22.7,3.87,12.496
Baker Skateboard,Electric Skateboard,Los Angeles,United States,Trudy Brown,USCA,TB-216254,09/05/2014,2014,CA-2013-111696,High,OFF-PA-10002751,West,Consumer,California,0,8.073,17.9,3.42,9.867
Girl skateboard,Electric Skateboard,Los Angeles,United States,Ted Trevino,USCA,TT-210704,12/05/2014,2014,CA-2013-162733,Medium,OFF-PA-10002751,West,Consumer,California,0,2.691,6,0.41,8.671
Element Skateboard,The Carve Skateboard,Los Angeles,United States,Denny Ordway,USCA,DO-134354,17/05/2014,2014,CA-2013-133144,Medium,OFF-PA-10004971,West,Consumer,California,0,8.4966,17.3,1.82,8.8434
zero skateboard,Classic Longboard Skateboard,Los Angeles,United States,Lynn Smith,USCA,LS-172454,28/05/2014,2014,CA-2013-136994,Medium,OFF-PA-10000575,West,Consumer,California,0,6.1548,13.4,0.88,19.5348
real skateboard,Downhill Longboard Skateboard,Los Angeles,United States,Clay Ludtke,USCA,CL-125654,29/05/2014,2014,CA-2013-134803,Low,OFF-PA-10003790,West,Consumer,California,0,84.0512,182.7,17.93,98.6688
Plan B skateboard,Electric Skateboard,Los Angeles,United States,Olvera Toch,USCA,OT-187304,11/06/2014,2014,CA-2013-113243,Medium,OFF-PA-10003441,West,Consumer,California,0,15.552,32.4,1.91,47.952
Santa cruz skateboard,The Carve Skateboard,Los Angeles,United States,Bill Donatelli,USCA,BD-113204,17/06/2014,2014,CA-2013-148593,Medium,OFF-PA-10001776,West,Consumer,California,0,21.7845,46.4,1.14,24.5655
Chocolate skateboard,The Carve Skateboard,Los Angeles,United States,Mike Vittorini,USCA,MV-181904,18/06/2014,2014,CA-2013-123512,Critical,OFF-PA-10001497,West,Consumer,California,0,107.7216,219.8,74.66,112.1184
Chocolate skateboard,The Carve Skateboard,Los Angeles,United States,Guy Thornton,USCA,GT-147554,04/07/2014,2014,CA-2013-130029,High,OFF-PA-10000552,West,Consumer,California,0,6.2208,13,1.62,6.7392
Baker Skateboard,Classic Longboard Skateboard,Los Angeles,United States,Christopher Conant,USCA,CC-123704,08/07/2014,2014,CA-2013-135265,Critical,OFF-PA-10002923,West,Consumer,California,0,24.47,48.9,10.36,73.41
Girl skateboard,Downhill Longboard Skateboard,Los Angeles,United States,Jill Matthias,USCA,JM-155804,15/08/2014,2014,CA-2013-136021,High,OFF-PA-10000551,West,Consumer,California,0,7.6146,15.5,2.15,7.9254
Element Skateboard,Electric Skateboard,Los Angeles,United States,Bill Donatelli,USCA,BD-113204,16/08/2014,2014,CA-2013-167241,Low,OFF-PA-10004911,West,Consumer,California,0,18.0096,37.5,4.05,55.5296
zero skateboard,The Carve Skateboard,Los Angeles,United States,Pamela Stobb,USCA,PS-187604,30/09/2014,2014,US-2013-101497,High,OFF-PA-10000176,West,Consumer,California,0,9.1056,19,1.89,28.0756
real skateboard,Classic Longboard Skateboard,Los Angeles,United States,Cindy Chapman,USCA,CC-124754,08/10/2014,2014,CA-2013-155033,High,OFF-PA-10000143,West,Consumer,California,0,5.0688,10.6,1.61,5.4912
Plan B skateboard,Downhill Longboard Skateboard,Los Angeles,United States,Joel Eaton,USCA,JE-157454,09/10/2014,2014,US-2013-162026,Critical,OFF-PA-10000167,West,Consumer,California,0,27.882,62,3,89.842
Santa cruz skateboard,Electric Skateboard,Los Angeles,United States,Xylona Preis,USCA,XP-218654,04/11/2014,2014,CA-2013-109365,Medium,OFF-PA-10004359,West,Consumer,California,0,150.984,314.6,22.15,465.534
Chocolate skateboard,The Carve Skateboard,Los Angeles,United States,Xylona Preis,USCA,XP-218654,04/11/2014,2014,CA-2013-109365,Medium,OFF-PA-10001725,West,Consumer,California,0,56.9772,116.3,5.57,59.3028
Toy machine skateboard,The Carve Skateboard,Los Angeles,United States,Xylona Preis,USCA,XP-218654,04/11/2014,2014,CA-2013-109365,Medium,OFF-PA-10000477,West,Consumer,California,0,9.3312,19.4,1.3,28.7712
Alien workshop,The Carve Skateboard,Los Angeles,United States,Arianne Irving,USCA,AI-108554,11/11/2014,2014,CA-2013-158694,High,OFF-PA-10002421,West,Consumer,California,0,32.5008,67.7,10.83,100.2108
Baker Skateboard,Classic Longboard Skateboard,Los Angeles,United States,Arianne Irving,USCA,AI-108554,11/11/2014,2014,CA-2013-158694,High,OFF-PA-10001363,West,Consumer,California,0,28.858,61.4,8.68,32.542
Girl skateboard,Downhill Longboard Skateboard,Los Angeles,United States,Sean O'Donnell,USCA,SO-203354,15/01/2015,2015,CA-2014-149076,Medium,OFF-PA-10000483,West,Consumer,California,0,69.705,154.9,9.12,85.195
Element Skateboard,Electric Skateboard,Los Angeles,United States,Clytie Kelty,USCA,CK-125954,24/02/2015,2015,CA-2014-104647,Medium,OFF-PA-10002870,West,Consumer,California,0,16.848,37.4,3.82,20.592
zero skateboard,Electric Skateboard,Los Angeles,United States,Pamela Stobb,USCA,PS-187604,18/04/2015,2015,CA-2014-128965,Medium,OFF-PA-10004911,West,Consumer,California,0,13.5072,28.1,2.84,41.6472
real skateboard,The Carve Skateboard,Los Angeles,United States,Lauren Leatherbury,USCA,LL-168404,26/04/2015,2015,CA-2014-120222,Medium,OFF-PA-10004675,West,Consumer,California,0,8.763,19.1,1.52,27.813
Plan B skateboard,Classic Longboard Skateboard,Los Angeles,United States,Dorothy Dickinson,USCA,DD-135704,03/05/2015,2015,CA-2014-147844,Medium,OFF-PA-10003016,West,Consumer,California,0,7.065,15.7,0.93,22.765
Santa cruz skateboard,Downhill Longboard Skateboard,Los Angeles,United States,Dorothy Dickinson,USCA,DD-135704,03/05/2015,2015,CA-2014-147844,Medium,OFF-PA-10002713,West,Consumer,California,0,15.824,34.4,2.54,18.576
Chocolate skateboard,Electric Skateboard,Los Angeles,United States,Dianna Vittorini,USCA,DV-134654,12/06/2015,2015,US-2014-152002,Medium,OFF-PA-10000357,West,Consumer,California,0,60.2553,123,23.65,62.7147
Toy machine skateboard,The Carve Skateboard,Los Angeles,United States,Craig Carreira,USCA,CC-126704,19/06/2015,2015,CA-2014-112753,High,OFF-PA-10002036,West,Consumer,California,0,19.0512,38.9,4.89,19.8288
Alien workshop,The Carve Skateboard,Los Angeles,United States,Thomas Thornton,USCA,TT-212204,01/07/2015,2015,US-2014-113201,Medium,OFF-PA-10000675,West,Consumer,California,0,100.4255,205,14.98,104.5245
Chocolate skateboard,The Carve Skateboard,Los Angeles,United States,Tracy Blumstein,USCA,TB-215204,24/07/2015,2015,CA-2014-133718,Critical,OFF-PA-10002689,West,Consumer,California,0,27.9936,58.3,7.82,30.3264
Baker Skateboard,Classic Longboard Skateboard,Los Angeles,United States,Kean Thornton,USCA,KT-164804,21/08/2015,2015,CA-2014-105326,Medium,OFF-PA-10001639,West,Consumer,California,0,12.4416,25.9,1.27,38.3616
Girl skateboard,Downhill Longboard Skateboard,Los Angeles,United States,Liz Carlisle,USCA,LC-170504,10/09/2015,2015,CA-2014-137498,Medium,OFF-PA-10000143,West,Consumer,California,0,22.8096,47.5,5.29,24.7104
Element Skateboard,Electric Skateboard,Los Angeles,United States,John Murray,USCA,JM-158654,13/09/2015,2015,US-2014-109582,Medium,OFF-PA-10004071,West,Consumer,California,0,79.8912,166.4,11.1,86.5488
zero skateboard,Downhill Longboard Skateboard,Los Angeles,United States,Duane Benoit,USCA,DB-136604,24/09/2015,2015,CA-2014-121853,Medium,OFF-PA-10003641,West,Consumer,California,0,97.0784,211,15.64,113.9616
real skateboard,The Carve Skateboard,Los Angeles,United States,Xylona Preis,USCA,XP-218654,10/10/2015,2015,US-2014-115595,Medium,OFF-PA-10001745,West,Consumer,California,0,16.544,35.2,7.79,18.656
Plan B skateboard,Classic Longboard Skateboard,Los Angeles,United States,Guy Armstrong,USCA,GA-147254,12/11/2015,2015,CA-2014-110842,Medium,OFF-PA-10000520,West,Consumer,California,0,9.3312,19.4,1.43,10.1088
Santa cruz skateboard,Downhill Longboard Skateboard,Los Angeles,United States,Emily Phan,USCA,EP-139154,13/11/2015,2015,US-2014-125808,High,OFF-PA-10001846,West,Consumer,California,0,5.6644,11.6,1.71,5.8956
Chocolate skateboard,Electric Skateboard,Los Angeles,United States,Clay Cheatham,USCA,CC-125504,02/12/2015,2015,CA-2014-118542,Medium,OFF-PA-10004735,West,Consumer,California,0,21.7728,45.4,3.56,23.5872
Toy machine skateboard,The Carve Skateboard,Los Angeles,United States,Emily Phan,USCA,EP-139154,19/12/2015,2015,CA-2014-102099,Medium,OFF-PA-10003172,West,Consumer,California,0,6.2208,13,0.94,6.7392
Alien workshop,The Carve Skateboard,Los Angeles,United States,Emily Phan,USCA,EP-139154,19/12/2015,2015,CA-2014-102099,Medium,OFF-PA-10000289,West,Consumer,California,0,15.552,32.4,1.09,47.952
Baker Skateboard,The Carve Skateboard,Los Angeles,United States,Steven Roelle,USCA,SR-207404,21/02/2012,2012,CA-2011-164903,High,OFF-PA-10003363,West,Home Office,California,0,6.2208,13,1.14,6.7392
Girl skateboard,Classic Longboard Skateboard,Los Angeles,United States,Andy Yotov,USCA,AY-105554,06/04/2012,2012,CA-2011-102652,Medium,OFF-PA-10001977,West,Corporate,California,0,26.6304,55.5,2.28,82.1104
Element Skateboard,Downhill Longboard Skateboard,Los Angeles,United States,Andy Yotov,USCA,AY-105554,06/04/2012,2012,CA-2011-102652,Medium,OFF-PA-10003309,West,Corporate,California,0,9.3312,19.4,2.11,10.1088
zero skateboard,Electric Skateboard,Los Angeles,United States,Aaron Hawkins,USCA,AH-100304,13/05/2012,2012,CA-2011-113768,Medium,OFF-PA-10003063,West,Corporate,California,0,3.84,8,0.15,4.16
real skateboard,Electric Skateboard,Los Angeles,United States,Vicky Freymann,USCA,VF-217154,25/07/2012,2012,CA-2011-146528,High,OFF-PA-10002195,West,Home Office,California,0,3.1752,6.5,0.79,9.6552
Plan B skateboard,The Carve Skateboard,Los Angeles,United States,Janet Molinari,USCA,JM-152654,25/08/2012,2012,CA-2011-104178,High,OFF-PA-10004983,West,Corporate,California,0,12.4416,25.9,3.11,13.4784
Santa cruz skateboard,Classic Longboard Skateboard,Los Angeles,United States,Greg Guthrie,USCA,GG-146504,31/10/2012,2012,CA-2011-106439,High,OFF-PA-10000477,West,Corporate,California,0,30.4278,64.7,6.72,34.3122
Chocolate skateboard,Downhill Longboard Skateboard,Los Angeles,United States,Paul Lucas,USCA,PL-189254,01/11/2012,2012,CA-2011-168305,Medium,OFF-PA-10004947,West,Home Office,California,0,9.63,21.4,0.92,31.03
Chocolate skateboard,Electric Skateboard,Los Angeles,United States,Matt Abelman,USCA,MA-175604,11/11/2012,2012,CA-2011-140732,High,OFF-PA-10003625,West,Home Office,California,0,55.764,123.9,27.69,68.156
Baker Skateboard,The Carve Skateboard,Los Angeles,United States,Mike Caudle,USCA,MC-181304,19/03/2013,2013,CA-2012-163104,Medium,OFF-PA-10001947,West,Corporate,California,0,5.8604,12,1.2,17.8204
Girl skateboard,The Carve Skateboard,Los Angeles,United States,Bart Pistole,USCA,BP-110954,23/03/2013,2013,CA-2012-138219,Medium,OFF-PA-10000380,West,Corporate,California,0,16.68,33.4,2.16,16.68
Element Skateboard,The Carve Skateboard,Los Angeles,United States,Alice McCarthy,USCA,AM-103604,23/03/2013,2013,US-2012-107944,High,OFF-PA-10000659,West,Corporate,California,0,92.5056,192.7,27.31,285.2256
zero skateboard,Classic Longboard Skateboard,Los Angeles,United States,Deanra Eno,USCA,DE-132554,18/04/2013,2013,CA-2012-142601,Medium,OFF-PA-10000483,West,Home Office,California,0,27.882,62,8.38,34.078
real skateboard,Downhill Longboard Skateboard,Los Angeles,United States,Anthony Jacobs,USCA,AJ-107804,18/05/2013,2013,CA-2012-165554,Medium,OFF-PA-10003724,West,Corporate,California,0,5.3214,10.9,1,5.5386
Plan B skateboard,Electric Skateboard,Los Angeles,United States,Catherine Glotzbach,USCA,CG-120404,01/06/2013,2013,CA-2012-161242,Medium,OFF-PA-10001838,West,Home Office,California,0,5.7624,11.8,0.82,17.5224
Santa cruz skateboard,The Carve Skateboard,Los Angeles,United States,Meg O'Connel,USCA,MO-178004,17/09/2013,2013,CA-2012-133025,Critical,OFF-PA-10004100,West,Home Office,California,0,15.552,32.4,7.02,47.952
Chocolate skateboard,Classic Longboard Skateboard,Los Angeles,United States,Rick Wilson,USCA,RW-195404,19/09/2013,2013,CA-2012-132815,High,OFF-PA-10004530,West,Corporate,California,0,11.2504,23,3.62,11.7096
Toy machine skateboard,Downhill Longboard Skateboard,Los Angeles,United States,Yoseph Carroll,USCA,YC-218954,12/11/2013,2013,CA-2012-153220,High,OFF-PA-10003016,West,Corporate,California,0,7.065,15.7,3.41,22.765
Alien workshop,Electric Skateboard,Los Angeles,United States,Steve Nguyen,USCA,SN-207104,27/11/2013,2013,CA-2012-125234,Medium,OFF-PA-10000482,West,Home Office,California,0,53.4954,113.8,9.19,167.3154
Baker Skateboard,The Carve Skateboard,Los Angeles,United States,Darren Budd,USCA,DB-129703,14/12/2013,2013,CA-2012-141593,High,OFF-PA-10004983,West,Corporate,California,0,3.1104,6.5,1.31,3.3696
Girl skateboard,The Carve Skateboard,Los Angeles,United States,Sean Miller,USCA,SM-203204,25/12/2013,2013,CA-2012-144890,Medium,OFF-PA-10001526,West,Home Office,California,0,4.8804,10,0.22,14.8404
Element Skateboard,The Carve Skateboard,Los Angeles,United States,Sample Company A,USCA,SC-200504,31/01/2014,2014,CA-2013-129238,Medium,OFF-PA-10002764,West,Home Office,California,0,27.783,56.7,4.73,84.483
zero skateboard,Classic Longboard Skateboard,Los Angeles,United States,Suzanne McNair,USCA,SM-209504,01/02/2014,2014,CA-2013-154067,Medium,OFF-PA-10002254,West,Corporate,California,0,48.5392,105.5,8.11,56.9808
real skateboard,Downhill Longboard Skateboard,Los Angeles,United States,Ross DeVincentis,USCA,RD-198104,13/02/2014,2014,CA-2013-112942,Medium,OFF-PA-10004092,West,Home Office,California,0,73.41,146.8,8.08,73.41
Plan B skateboard,Electric Skateboard,Los Angeles,United States,Karen Ferguson,USCA,KF-162854,11/03/2014,2014,CA-2013-159016,High,OFF-PA-10004405,West,Home Office,California,0,7.152,14.9,2.67,22.052
Santa cruz skateboard,Electric Skateboard,Los Angeles,United States,Ricardo Sperren,USCA,RS-194204,10/05/2014,2014,US-2013-159093,Medium,OFF-PA-10001260,West,Corporate,California,0,14.418,32,1.48,17.622
Chocolate skateboard,The Carve Skateboard,Los Angeles,United States,Nancy Lomonaco,USCA,NL-183104,31/05/2014,2014,CA-2013-147473,Medium,OFF-PA-10004782,West,Home Office,California,0,18.6624,38.9,2.81,20.2176
Toy machine skateboard,Classic Longboard Skateboard,Los Angeles,United States,Ross Baird,USCA,RB-197954,07/06/2014,2014,US-2013-155971,Medium,OFF-PA-10000210,West,Home Office,California,0,46.953,99.9,4.9,52.947
Alien workshop,Downhill Longboard Skateboard,Los Angeles,United States,Adam Hart,USCA,AH-100754,27/06/2014,2014,CA-2013-144015,Critical,OFF-PA-10002870,West,Corporate,California,0,5.616,12.5,2.73,18.096
Chocolate skateboard,Electric Skateboard,Los Angeles,United States,Scot Coram,USCA,SC-202304,22/08/2014,2014,US-2013-126452,Low,OFF-PA-10002606,West,Corporate,California,0,21.384,47.5,3.43,68.904
Baker Skateboard,The Carve Skateboard,Los Angeles,United States,Scot Coram,USCA,SC-202304,22/08/2014,2014,US-2013-126452,Low,OFF-PA-10003848,West,Corporate,California,0,6.2208,13,1.16,6.7392
Girl skateboard,The Carve Skateboard,Los Angeles,United States,Jim Sink,USCA,JS-156854,18/09/2014,2014,CA-2013-109806,Medium,OFF-PA-10000304,West,Corporate,California,0,3.1104,6.5,0.52,9.5904
Element Skateboard,The Carve Skateboard,Los Angeles,United States,Laura Armstrong,USCA,LA-167804,25/09/2014,2014,CA-2013-155187,Medium,OFF-PA-10000380,West,Corporate,California,0,20.85,41.7,5.31,62.55
zero skateboard,Classic Longboard Skateboard,Los Angeles,United States,Carl Weiss,USCA,CW-119054,05/11/2014,2014,CA-2013-119018,High,OFF-PA-10000295,West,Home Office,California,0,18.6624,38.9,6.66,20.2176
real skateboard,Downhill Longboard Skateboard,Los Angeles,United States,Tiffany House,USCA,TH-212354,22/11/2014,2014,CA-2013-152646,Medium,OFF-PA-10004451,West,Corporate,California,0,15.552,32.4,1.97,16.848
Plan B skateboard,Electric Skateboard,Los Angeles,United States,Anne Pryor,USCA,AP-107204,07/12/2014,2014,US-2013-103674,Medium,OFF-PA-10000743,West,Home Office,California,0,6.4128,13.4,0.8,19.7728
Santa cruz skateboard,Downhill Longboard Skateboard,Los Angeles,United States,Henry Goldwyn,USCA,HG-149654,19/12/2014,2014,CA-2013-145919,High,OFF-PA-10003072,West,Corporate,California,0,18.6624,38.9,5.02,57.5424
Chocolate skateboard,The Carve Skateboard,Los Angeles,United States,Grace Kelly,USCA,GK-146204,26/12/2014,2014,US-2013-116729,Medium,OFF-PA-10002005,West,Corporate,California,0,21.7728,45.4,1.33,67.1328
Toy machine skateboard,Classic Longboard Skateboard,Los Angeles,United States,Bradley Talbott,USCA,BT-115304,27/02/2015,2015,CA-2014-117212,Medium,OFF-PA-10001970,West,Home Office,California,0,109.7208,223.9,17.93,114.1992
Alien workshop,Downhill Longboard Skateboard,Los Angeles,United States,Bradley Talbott,USCA,BT-115304,27/02/2015,2015,CA-2014-117212,Medium,OFF-PA-10000682,West,Home Office,California,0,11.3288,23.1,2.6,34.4488
Baker Skateboard,Electric Skateboard,Los Angeles,United States,Noel Staavos,USCA,NS-186404,16/04/2015,2015,CA-2014-134635,Critical,OFF-PA-10002254,West,Corporate,California,0,36.4044,79.1,17.5,115.5444
Girl skateboard,The Carve Skateboard,Los Angeles,United States,Suzanne McNair,USCA,SM-209504,31/05/2015,2015,CA-2014-120614,Medium,OFF-PA-10004911,West,Corporate,California,0,18.0096,37.5,1.63,55.5296
Element Skateboard,The Carve Skateboard,Los Angeles,United States,Saphhira Shifley,USCA,SS-201404,04/06/2015,2015,CA-2014-145772,High,OFF-PA-10001593,West,Corporate,California,0,5.382,12,1.4,17.342
zero skateboard,The Carve Skateboard,Los Angeles,United States,Roland Schwarz,USCA,RS-197654,16/10/2015,2015,CA-2014-113670,Critical,OFF-PA-10000675,West,Corporate,California,0,100.4255,205,35.32,305.3755
real skateboard,Classic Longboard Skateboard,Los Angeles,United States,Alice McCarthy,USCA,AM-103604,03/12/2015,2015,CA-2014-109701,High,OFF-PA-10003724,West,Corporate,California,0,5.3214,10.9,1.77,5.5386
Plan B skateboard,Downhill Longboard Skateboard,Los Angeles,United States,Chris Selesnick,USCA,CS-122504,05/12/2015,2015,CA-2014-153227,High,OFF-PA-10001838,West,Corporate,California,0,5.7624,11.8,2.14,17.5224
Santa cruz skateboard,Electric Skateboard,Los Angeles,United States,Rick Bensley,USCA,RB-194654,17/12/2015,2015,CA-2014-161578,High,OFF-PA-10002986,West,Home Office,California,0,6.4128,13.4,1.23,19.7728
Chocolate skateboard,Electric Skateboard,Los Angeles,United States,Frank Hawley,USCA,FH-142754,06/04/2012,2012,CA-2011-153808,High,OFF-AR-10001725,West,Corporate,California,0,18.447,71,8.74,89.397
Chocolate skateboard,The Carve Skateboard,Los Angeles,United States,John Lee,USCA,JL-158354,18/04/2012,2012,CA-2011-110849,High,OFF-AR-10000657,West,Consumer,California,0,3.5475,10.8,1.79,14.2975
Baker Skateboard,Classic Longboard Skateboard,Los Angeles,United States,John Lee,USCA,JL-158354,18/04/2012,2012,CA-2011-110849,High,OFF-AR-10002375,West,Consumer,California,0,3.8048,13.1,0.6,9.3152
Girl skateboard,Downhill Longboard Skateboard,Los Angeles,United States,Marc Harrigan,USCA,MH-172904,26/04/2012,2012,CA-2011-116785,High,OFF-AR-10003504,West,Home Office,California,0,6.206,21.4,3.37,27.606
Element Skateboard,Electric Skateboard,Los Angeles,United States,Steve Nguyen,USCA,SN-207104,06/05/2012,2012,US-2011-154879,Medium,OFF-AR-10001897,West,Home Office,California,0,30.2232,107.9,10.88,138.1632
zero skateboard,The Carve Skateboard,Los Angeles,United States,Brosina Hoffman,USCA,BH-117104,09/06/2012,2012,CA-2011-115812,Medium,OFF-AR-10002833,West,Consumer,California,0,1.9656,7.3,0.49,9.2456
real skateboard,The Carve Skateboard,Los Angeles,United States,Filia McAdams,USCA,FM-142154,13/06/2012,2012,CA-2011-114643,High,OFF-AR-10003631,West,Corporate,California,0,4.7916,14.5,2.33,9.7284
Plan B skateboard,The Carve Skateboard,Los Angeles,United States,Anthony Rawles,USCA,AR-108254,30/06/2012,2012,CA-2011-109218,Medium,OFF-AR-10001374,West,Corporate,California,0,10.368,32.4,1.53,22.032
